date,releaseNumber,cases,deaths,testsConducted,testsReceived,testsPending
2020-03-04,NR20-011,53,1,,,
2020-03-06,NR20-013,69,1,,,
2020-03-08,NR20-015,114,,,,
2020-03-10,NR20-017,157,2,,,
2020-03-12,NR20-019,198,4,,,
2020-03-13,NR20-020,247,5,,,
2020-03-14,NR20-022,288,5,,,
2020-03-15,NR20-023,335,6,,,
2020-03-17,NR20-025,472,11,,,
2020-03-18,NR20-026,598,13,,,
2020-03-19,NR20-027,675,16,16900,6300,10000
2020-03-20,NR20-028,1006,19,23200,11487,11700
2020-03-21,NR20-029,1224,23,25200,12528,12700
2020-03-22,NR20-030,1468,27,26200,13467,12700
2020-03-23,NR20-031,1733,27,26400,14317,12100
2020-03-24,NR20-032,2102,40,27650,15554,12100
2020-03-25,NR20-033,2535,53,66800,18276,48600
2020-03-26,NR20-034,3006,65,77800,20386,57400
2020-03-27,NR20-035,3801,78,88400,23480,65000
2020-03-28,NR20-036,4643,101,89600,25192,64400
2020-03-30,NR20-037,5763,135,83800,27251,56550
2020-03-31,NR20-038,6932,150,86100,28704,57400
2020-04-01,NR20-039,8155,171,90100,31038,59100
2020-04-02,NR20-041,9191,203,92500,32944,59500
2020-04-03,NR20-042,10701,237,94800,35267,59500
2020-04-04,NR20-043,12026,276,126700,113687,13000
2020-04-05,NR20-044,13438,319,131500,116563,15000
2020-04-06,NR20-045,14336,343,143800,129693,14100
2020-04-07,NR20-046,15865,374,157800,143172,14600
2020-04-08,NR20-047,16957,442,168800,154733,14100
2020-04-09,NR20-048,18309,492,177600,163704,13900
2020-04-10,NR20-049,19472,541,185300,172076,13200
2020-04-11,NR20-050,20615,609,196200,182986,13200
2020-04-12,NR20-051,21794,651,203400,190238,13200
2020-04-13,NR20-052,22348,687,212900,199667,13200
2020-04-14,NR20-053,23338,758,215400,202208,13200
2020-04-15,NR20-054,24424,821,227600,214387,13200
2020-04-16,NR20-055,26182,890,246400,239181,7200
2020-04-17,NR20-056,27528,985,258800,251614,7200
2020-04-18,NR20-057,28963,1072,266900,259666,7200
2020-04-19,NR20-058,30333,1166,280900,273721,7200
2020-04-20,NR20-059,30978,1208,290500,283317,7200
2020-04-21,NR20-060,33261,1268,300100,292906,7200
2020-04-22,NR20-061,35396,1354,308700,301547,7200
2020-04-23,NR20-062,37369,1469,482097,482097,0
2020-04-24,NR20-063,39254,1562,494173,494173,0
2020-04-25,NR20-064,41137,1651,506035,506035,0
2020-04-26,NR20-065,42164,1710,526084,526084,0
2020-04-27,NR20-066,43464,1755,553409,553409,0
2020-04-28,NR20-067,45031,1809,577608,577608,0
2020-04-29,NR20-068,46500,1887,603139,603139,0
2020-04-30,NR20-069,48917,1982,625337,625337,0
2020-05-01,NR20-070,50442,2073,654985,654985,0
2020-05-02,NR20-071,52197,2171,685048,685048,0
2020-05-03,NR20-072,53616,2215,715751,715751,0
2020-05-04,NR20-073,54937,2254,747874,747874,0
2020-05-05,NR20-074,56212,2317,779902,779902,0
2020-05-06,NR20-075,58815,2412,809036,809036,0
2020-05-07,NR20-077,60614,2504,842874,842874,0
2020-05-08,NR20-078,62512,2585,875272,875272,0
2020-05-09,NR20-079,64561,2678,912570,912570,0
2020-05-10,NR20-080,66680,2745,955664,955664,0
2020-05-11,NR20-081,67939,2770,991897,991897,0
2020-05-12,NR20-082,69382,2847,1033370,1033370,0
2020-05-13,NR20-085,71141,2934,1065592,1065592,0
2020-05-14,NR20-086,73164,3032,1104651,1104651,0
2020-05-15,NR20-087,74936,3108,1133906,1133906,0
2020-05-16,NR20-088,76793,3204,1179126,1179126,0
2020-05-17,NR20-089,78839,3261,1235243,1235243,0
2020-05-18,NR20-092,80430,3302,1292672,1292672,0
2020-05-19,NR20-093,81795,3334,1339316,1339316,0
2020-05-20,NR20-094,84057,3436,1380120,1380120,0
2020-05-21,NR20-095,86197,3542,1421127,1421127,0
2020-05-22,NR20-096,88444,3630,1466773,1466773,0
2020-05-24,NR20-098,92710,3774,1582745,1582745,0
